state,name,fips,age_over_18,age_over_18_moe,age_over_65,age_over_65_moe,age_over_85,age_over_85_moe,age_under_5,age_under_5_moe,asian,asian_moe,avg_family_size,avg_family_size_moe,bachelors,bachelors_moe,black,black_moe,hispanic,hispanic_moe,household_has_broadband,household_has_broadband_moe,household_has_computer,household_has_computer_moe,household_has_smartphone,household_has_smartphone_moe,households,households_moe,households_speak_asian_or_pac_isl,households_speak_asian_or_pac_isl_moe,households_speak_limited_english,households_speak_limited_english_moe,households_speak_other,households_speak_other_moe,households_speak_other_indo_euro_lang,households_speak_other_indo_euro_lang_moe,households_speak_spanish,households_speak_spanish_moe,housing_mobile_homes,housing_mobile_homes_moe,housing_one_unit_structures,housing_one_unit_structures_moe,housing_two_unit_structures,housing_two_unit_structures_moe,hs_grad,hs_grad_moe,mean_household_income,mean_household_income_moe,mean_work_travel,mean_work_travel_moe,median_age,median_age_moe,median_household_income,median_household_income_moe,median_individual_income,median_individual_income_moe,median_individual_income_age_25plus,median_individual_income_age_25plus_moe,native,native_moe,other_single_race,other_single_race_moe,pac_isl,pac_isl_moe,per_capita_income,per_capita_income_moe,persons_per_household,persons_per_household_moe,pop,pop_moe,poverty,poverty_moe,poverty_65_and_over,poverty_65_and_over_moe,poverty_under_18,poverty_under_18_moe,two_plus_races,two_plus_races_moe,unemployment_rate,unemployment_rate_moe,uninsured,uninsured_moe,uninsured_65_and_older,uninsured_65_and_older_moe,uninsured_under_19,uninsured_under_19_moe,uninsured_under_6,uninsured_under_6_moe,veterans,veterans_moe,white,white_moe,white_not_hispanic,white_not_hispanic_moe
Arkansas,Washington County,5143,75.5,NA,11.4,0.1,1.3,0.1,6.9,NA,2.5,0.2,3.17,0.04,33.3,1.1,3.7,0.2,16.8,NA,79.2,1.3,77.9,1.1,83.8,0.8,87325,772,3,0.3,4.5,0.6,0.3,0.1,1.8,0.4,11.7,0.6,47.4,1.1,4.6,0.5,52.6,1.1,85,0.8,72327,1891,NA,NA,32,0.2,50451,1049,27431,565,35817,1108,0.9,0.2,10,0.9,2.3,0.2,27790,726,2.57,0.02,232289,NA,16.4,1,8.2,1.2,18,2.1,3.5,0.4,4.1,0.5,11.6,0.8,0.8,0.4,8.4,1.4,7.9,1.8,6.8,0.4,77.2,0.8,70.9,0.1
Arkansas,White County,5145,76.6,NA,16.1,0.2,1.8,0.3,6.2,0.1,0.7,0.1,3.15,0.09,20.9,2,4.4,0.3,4.3,NA,75.9,1.7,64.8,2.3,78.3,1.7,29055,547,0.6,0.3,0.9,0.4,0.4,0.3,1.2,0.5,4.9,0.8,33.9,2.1,17.8,1.8,66.1,2.1,84.4,1.9,61393,2950,24.5,1.3,36.9,0.4,44029,2554,23470,1492,34093,1942,0.6,0.2,1,0.5,0,0.1,23702,1150,2.58,0.05,78762,NA,15.7,1.8,12.1,2.3,20.2,3.5,2.2,0.3,5.2,1.2,8.3,1.2,1.1,0.9,4.5,1.5,3.2,1.9,7.8,0.8,91.1,0.5,88.1,0.1
Arkansas,Woodruff County,5147,78.5,NA,22.7,NA,2.4,1.3,5.8,NA,0.9,1.2,2.7,0.19,14,2.7,28.1,1.6,0.5,0.6,53.4,4.6,49.3,4.7,53.8,4.3,2932,181,0,1.1,0,1.1,0,1.1,0,1.1,0.6,0.6,34.6,4.5,12,2.5,65.4,4.5,81.7,3,51320,5124,NA,NA,45.5,0.7,32845,4860,22792,2186,35463,3510,0,0.5,0,0.5,0,0.5,23423,2357,2.19,0.12,6533,NA,NA,NA,NA,NA,NA,NA,1.1,0.7,8.4,3.6,6,1.9,0.2,0.4,3.2,2.2,0,7.3,6.4,1.2,69.8,0.6,69.4,0.5
Arkansas,Yell County,5149,75.6,0.3,17.4,0.5,2.1,0.5,6.4,0.2,1.1,0.3,3.3,0.14,12.8,1.8,2.5,0.4,20.2,NA,70.5,2.8,60.7,3.1,68.1,3.2,7503,259,1.1,0.3,4,1.2,0,0.1,0.6,0.5,14,1.5,28.5,3.1,12.1,2.1,71.5,3.1,78.2,1.9,59191,4554,NA,NA,40.3,1,43923,3322,23158,1669,31047,1301,0.5,0.3,16.2,1.7,0,0.2,22015,1628,2.82,0.1,21464,NA,NA,NA,NA,NA,NA,NA,1.1,0.4,3.5,1.5,7.9,1.4,1,1.1,3.2,1.9,5.8,5.3,7.1,1,78.6,1.6,75.3,0.1
California,Alameda County,6001,79.2,NA,13.5,NA,1.7,0.1,5.8,NA,30.1,0.1,3.37,0.02,47.4,0.4,10.6,0.1,22.4,NA,88.9,0.3,86.7,0.3,87,0.3,577177,1744,20.2,0.3,8.6,0.2,1.7,0.1,9.1,0.2,14.7,0.2,46.5,0.4,1.3,0.1,53.5,0.4,88.4,0.2,130710,917,34.3,0.2,37.6,0.1,99406,921,43583,381,56246,621,0.7,0.1,10.8,0.3,0.8,0.1,47314,345,2.82,0.01,1656754,NA,9.9,0.3,9.5,0.4,11.3,0.6,6.5,0.2,4.4,0.1,4.4,0.2,1,0.2,2.1,0.2,1.9,0.4,3.7,0.1,40.5,0.3,31.4,0.1
California,Alpine County,6003,80.7,3.5,29.9,5.5,2.2,1.4,4.2,2,1,1.6,3.66,0.8,34.5,6.5,0.9,2.1,12.5,5.2,82.6,5.7,85.7,5.5,74.3,9,350,69,0.9,1.5,1.7,2.1,4,3.1,0,9.5,9.1,6.1,16,6.2,3.4,4.1,84,6.2,91.2,4.2,97724,18090,NA,NA,52.2,8.8,63750,17778,30512,3752,28214,6597,34,5.5,0.9,2.1,0.6,1.1,36739,7336,2.87,0.57,1039,161,NA,NA,NA,NA,NA,NA,5.1,3.3,15.6,11.9,8.9,5.1,0,10.6,3.7,4.9,0,44.4,9.4,3.6,57.7,6.1,53,5.8
California,Amador County,6005,84.8,0.2,26.7,0.3,3.3,0.6,4,0.2,1.3,0.4,2.85,0.12,19.3,2.1,2.4,0.3,13.9,NA,84.6,2,80.8,2.7,73.7,2.1,14594,448,0.8,0.4,0.5,0.4,0.5,0.4,2,0.8,5.9,1.1,23.5,2.4,8.1,1.2,76.5,2.4,90,1.3,81659,5235,32.7,2.4,50.5,0.4,62772,2756,31160,1235,40079,2683,0.8,0.3,3.9,0.9,0.1,0.1,31987,2047,2.38,0.07,38429,NA,NA,NA,NA,NA,NA,NA,4.8,0.7,6.6,1.8,4.7,0.8,0,0.4,3.4,1.9,5.1,3.9,11.7,1.2,86.7,0.9,78.2,0.1
California,Butte County,6007,79.9,NA,18,0.1,2.3,0.2,5.5,0.1,4.6,0.3,3.14,0.04,27.2,0.9,1.5,0.2,16.3,NA,85.4,0.9,81.8,0.9,79.2,0.9,85320,891,3.1,0.3,2.3,0.4,0.8,0.3,2.3,0.4,10.6,0.5,41,0.9,12.3,0.7,59,0.9,89.2,0.6,75746,2077,NA,NA,37.1,0.2,52537,1618,24067,622,36271,1089,1.2,0.2,4.8,0.5,0.3,0.1,29506,775,2.57,0.03,225817,NA,19.1,1,9.7,1.1,19.6,2,6.1,0.5,7.7,0.8,6.2,0.5,0.3,0.2,3.2,0.8,3.3,1.4,7.9,0.4,81.6,0.5,72,0.1
California,Calaveras County,6009,82.8,0.4,27.5,0.4,3,0.6,4.2,0.2,1.5,0.3,3.16,0.14,18.3,1.6,0.7,0.3,12.1,NA,82.3,2.1,79.4,2.1,71.3,2.8,16942,552,1.4,0.6,0.6,0.3,0.4,0.3,1.8,0.9,5.1,1,22.2,2.3,8.5,1.9,77.8,2.3,90.2,1.5,84039,4340,38.3,2.7,52,0.6,63158,4128,29124,2161,38494,3651,0.8,0.4,1.3,0.6,0,0.1,33456,1736,2.66,0.09,45514,NA,NA,NA,NA,NA,NA,NA,5.2,0.8,6.6,1.8,4.4,1.3,0.1,0.1,0.7,0.9,0,1.5,11.9,1,90.5,0.8,80.9,0.2
California,Colusa County,6011,72.8,0.3,14.4,0.2,1.5,0.4,7.3,0.2,1.4,0.5,3.45,0.13,15,2,1.5,0.4,59.4,NA,81,2.6,66,3.2,78.7,2.5,7227,159,0.4,0.3,10.4,2.1,0,0.1,1.1,0.7,44.2,2,39,2.8,7.8,1.9,61,2.8,71.3,2.3,77196,5505,NA,NA,35.3,0.4,59401,4265,27103,1553,32500,2092,1,0.4,4.6,1.8,0.2,0.1,26932,1866,2.94,0.06,21454,NA,NA,NA,NA,NA,NA,NA,2.8,0.8,4.4,1.2,9.8,1.7,0.6,0.8,3,2.1,3.2,3.4,5.3,1,88.3,1.9,35.3,0.2
California,Contra Costa County,6013,77.1,NA,15.4,NA,2,0.1,5.7,NA,16.7,0.2,3.35,0.02,42.4,0.4,8.7,0.1,25.6,NA,91.7,0.3,86,0.4,87.2,0.3,394769,1262,11.5,0.2,6.2,0.3,1.4,0.2,7.3,0.3,16.4,0.3,34.1,0.5,1.8,0.1,65.9,0.5,89.5,0.3,135742,1226,38.7,0.3,39.7,0.1,99716,1157,42181,483,54396,447,0.5,0.1,10.9,0.4,0.5,0.1,48178,423,2.87,0.01,1142251,NA,8.7,0.3,6.4,0.5,10.9,0.7,6.8,0.2,5,0.3,5.1,0.2,0.9,0.2,2.6,0.3,1.9,0.4,5.3,0.1,55.8,0.4,43.8,0.1
California,Del Norte County,6015,78.5,0.5,17.2,0.3,2.2,0.5,5.6,0.3,3.2,0.6,3.11,0.13,14.8,2,3.4,0.5,19.7,NA,79.7,2.9,74.8,3.5,72.3,3.2,9945,282,2.2,0.8,1.3,0.6,1.2,0.6,3,1,7.5,1.5,36.9,3.3,20.6,2.6,63.1,3.3,80.1,1.6,63515,3767,14.5,1.3,39.5,1.1,45283,5017,23493,2032,31533,1744,7.2,0.9,4.8,1.3,0.2,0.1,23674,1464,2.47,0.06,27495,NA,NA,NA,NA,NA,NA,NA,6.3,1.6,7.8,2.3,6.5,1.4,0.6,0.8,5.5,3.4,8,5.5,9.5,1.1,74.9,1.7,61.9,0.7
California,El Dorado County,6017,79.9,0.1,20.5,0.1,2.1,0.2,4.6,0.1,4.5,0.2,3.09,0.04,34.3,1.1,0.8,0.1,12.8,NA,87.2,1,85.8,1,82.9,1,70974,770,3.1,0.3,1.4,0.3,0.5,0.2,3.5,0.4,6.9,0.6,24.3,1.2,6,0.6,75.7,1.2,93.4,0.5,110041,2657,30,0.8,45.9,0.1,83377,2342,36682,1174,49053,1700,0.8,0.2,2.1,0.4,0.3,0.1,42749,1047,2.63,0.03,188563,NA,8.4,0.8,5.7,0.8,9.6,1.9,3.9,0.4,5.4,0.7,4.6,0.4,0.3,0.2,3,1,4.9,2.4,9,0.5,87.6,0.5,77.8,0.1
California,Fresno County,6019,71.5,NA,12,0.1,1.6,0.1,7.9,0.1,10.3,0.1,3.69,0.02,21.2,0.4,4.8,0.1,53.1,NA,80.2,0.5,70.5,0.5,81.2,0.5,307906,1137,6,0.3,10.1,0.4,0.9,0.1,3.8,0.2,35.6,0.5,46.7,0.6,3.7,0.2,53.3,0.6,76,0.4,74776,814,23.1,0.3,32.2,0.1,53969,794,25238,310,32422,355,1.2,0.1,14.4,0.5,0.2,0.1,24422,253,3.14,0.01,984521,NA,22.5,0.7,12.8,0.9,32.2,1.3,4.1,0.2,8.2,0.4,8.3,0.3,1.2,0.2,2.9,0.4,2.3,0.4,5.1,0.2,65,0.4,29.4,0.1
California,Glenn County,6021,73.2,NA,15.9,0.3,2,0.4,7.3,0.5,2.9,0.9,3.22,0.09,14.2,1.9,0.8,0.5,41.8,NA,71.6,3.2,67.8,3.4,75.1,2.6,10085,209,2.9,0.8,8.5,2.6,0.2,0.2,1.4,0.6,31.9,2.3,40.6,3.4,11.6,1.8,59.4,3.4,74.8,2.5,62706,2937,22.2,1.7,36.4,0.7,49633,2854,24329,1312,29893,3086,2.4,0.7,10.4,2.5,0,0.1,22668,1019,2.74,0.06,27976,NA,NA,NA,NA,NA,NA,NA,2.3,0.7,4.8,1.6,8.6,1.8,1.8,1.3,4.5,2.5,5.8,7,6.9,1.1,81.1,2.5,51.5,0.1
California,Humboldt County,6023,80.8,0.1,17.3,0.1,2.1,0.2,5.3,0.1,3.1,0.3,3.01,0.06,30.4,1.2,1.1,0.1,11.6,NA,83.5,1.1,78.7,1.4,76.6,1.2,54679,795,2.4,0.3,1.4,0.4,0.9,0.2,1.9,0.4,7.7,0.8,43.2,1.4,8.9,0.7,56.8,1.4,90.5,0.7,68313,2555,18.7,0.7,38.4,0.3,48041,1798,25114,724,32085,857,5,0.5,4.2,0.6,0.4,0.1,28769,1088,2.41,0.03,135940,NA,20.1,1.3,9.7,1.6,20.8,3.1,6.4,0.7,6.8,1.1,8.2,0.8,0.2,0.1,5.9,2,5.6,2.9,7.4,0.5,79.9,0.6,74.4,0.1
California,Imperial County,6025,71.3,NA,12.6,0.1,1.7,0.2,8.3,0.1,1.5,0.2,4.49,0.11,15.2,1,2.5,0.2,84.2,NA,77.5,1.5,67.1,1.8,78.8,1.3,44829,876,1.3,0.3,23.9,1.6,0.4,0.2,0.6,0.3,77.4,1,41.7,1.5,7.8,0.8,58.3,1.5,69.7,1.1,64355,2256,22.1,0.7,32.4,0.2,47622,1761,18245,744,30147,959,1.1,0.2,26.1,1.5,0.2,0.1,18018,591,3.81,0.07,180701,NA,24.1,1.8,19.3,2.4,32.2,3,3.6,0.5,13.7,1.2,8,0.7,1.6,0.8,4,1,2,1,4.3,0.4,65.1,1.6,10.6,0.1
California,Inyo County,6027,79.9,0.2,22.8,0.1,2.9,0.7,5.6,0.1,1.9,0.5,3.01,0.15,27.2,1.9,0.9,0.3,22.4,NA,80.3,2.4,83.9,2.5,74,2.4,7950,252,0.4,0.3,2.3,1.2,1.7,0.5,3.3,1.4,10.2,1.8,34.5,2.9,25.8,1.9,65.5,2.9,88.6,1.8,71376,3428,16.5,2,45.8,0.5,57316,4087,31566,1527,38490,3729,11.3,0.6,2.2,1,0.2,0.1,32590,1615,2.18,0.07,17977,NA,NA,NA,NA,NA,NA,NA,4.7,1.3,3.7,1.2,5.8,1.3,0.1,0.1,2.9,1.5,2.6,2.9,10.6,1.1,78.8,1.5,62.2,0.2
California,Kern County,6029,70.9,NA,10.7,0.1,1.2,0.1,7.9,0.1,4.7,0.1,3.69,0.03,16.4,0.4,5.5,0.1,53.3,NA,79.7,0.6,70,0.7,79.3,0.6,270282,1291,3.1,0.2,9.5,0.4,0.8,0.1,1.9,0.2,37.8,0.5,41.7,0.7,6.6,0.3,58.3,0.7,74.1,0.5,73478,1057,NA,NA,31.6,0.2,53350,909,25013,290,32876,1024,1,0.1,10.7,0.5,0.2,0.1,23326,319,3.17,0.01,887641,NA,21,0.8,12.3,1,29.1,1.5,3.5,0.2,9.4,0.5,7.9,0.4,1,0.4,3.2,0.5,2.3,0.5,5.7,0.2,74.4,0.5,34.2,0.1
California,Kings County,6031,72.8,0.1,10,0.1,1,0.2,7.7,0.1,3.9,0.3,3.54,0.06,14.7,0.9,6.4,0.4,54.5,NA,80.4,1.4,70.9,1.4,82.9,1.3,43452,495,4.1,0.5,13.1,1,0.6,0.3,2.8,0.5,35.9,1.2,47.7,1.5,4,0.6,52.3,1.5,73.4,0.9,72812,2246,22.8,1,31.8,0.2,57848,1714,26841,608,34527,1222,1.6,0.3,16.1,1.3,0.2,0.1,22373,679,3.13,0.03,150691,NA,18.2,1.4,11.7,2.1,25.5,2.5,4.1,0.6,7.3,0.9,7.5,0.7,2,1.1,3.1,0.6,1.6,0.5,9.2,0.5,67.7,1.4,32.2,0.1
California,Lake County,6033,79.1,NA,22.3,0.2,2,0.4,5.8,0.2,1.1,0.3,3.11,0.11,15.5,1.5,2.3,0.3,20.6,NA,76.6,2,73.2,2.1,73.1,2.2,25660,710,0.9,0.4,2.3,0.6,0.2,0.2,1.7,0.4,12.5,1,33.6,2.3,22.2,2,66.4,2.3,85.8,1.3,66591,3803,NA,NA,45.6,0.3,47040,2697,25172,952,30497,838,3.6,0.5,12.3,1.5,0.1,0.1,27362,1344,2.46,0.07,64195,NA,18.6,2,11.2,2.5,23.8,4.8,3.7,0.9,8.4,1.7,7.1,0.9,0.4,0.5,1.6,0.6,0.9,0.7,10.6,0.9,76.9,1.2,70.5,0.1
California,Lassen County,6035,85.1,0.5,14.2,0.2,1.5,0.4,4.6,0.1,1.4,0.2,2.73,0.11,12.9,1.4,8.7,0.4,19,NA,78.8,2.2,70.6,2.7,68.4,2.3,9280,371,1.6,0.5,0.8,0.6,0.4,0.4,1.4,0.6,4.6,1.3,32.4,2.5,12.7,1.7,67.6,2.5,83.2,1.2,71713,3044,NA,NA,36.6,0.5,56352,2090,30814,1315,41866,1850,2.8,0.3,1.7,0.5,0.8,0.2,22134,1084,2.26,0.08,30818,NA,NA,NA,NA,NA,NA,NA,2.5,0.5,6.6,1.7,4.4,1.1,0.2,0.3,3.7,1.6,4,2.9,7.6,0.9,82.2,0.6,65.4,0.1
California,Los Angeles County,6037,78,NA,13.3,NA,1.8,0.1,6.1,NA,14.6,0.1,3.66,0.01,32.5,0.2,8.1,0.1,48.5,NA,84.3,0.2,80.3,0.2,84.3,0.1,3316795,5782,12.6,0.1,12.7,0.1,1.4,0.1,7.2,0.1,34.6,0.1,54.2,0.3,1.7,0.1,45.8,0.3,79.1,0.1,99133,489,31.8,0.1,36.5,0.1,68044,347,29985,124,38729,173,0.7,0.1,21,0.2,0.3,0.1,34156,186,2.99,0.01,10081570,NA,14.9,0.1,13.2,0.2,20.8,0.3,4,0.1,5.7,0.1,9.6,0.1,1.5,0.1,3.9,0.1,2.8,0.2,3.3,0.1,51.3,0.2,26.2,0.1
California,Madera County,6039,72.4,0.1,13.8,0.1,1.5,0.2,7.5,0.1,2.1,0.2,3.67,0.06,14.6,0.9,3.2,0.2,57.8,NA,79.9,1.4,70.8,1.7,81.2,1.2,44881,590,1,0.3,10.6,0.9,0.9,0.5,2.1,0.5,40.3,1.4,35.9,1.7,6,0.7,64.1,1.7,71.9,1.3,74861,2301,NA,NA,34.1,0.2,57585,2351,23691,724,30006,1170,1.6,0.3,20.2,1.6,0.1,0.1,22853,670,3.28,0.04,155433,NA,19.9,1.5,9.6,1.4,29.5,3.1,3.3,0.4,8.1,1.1,8.3,0.7,0.9,0.5,3.9,1.2,3,1.2,5.6,0.4,69.5,1.6,34.1,0.1
California,Marin County,6041,79.8,NA,21.6,0.1,2.5,0.2,4.7,0.1,5.9,0.2,2.96,0.03,59.5,0.8,2.2,0.2,16,NA,91.3,0.6,90.2,0.7,84.7,0.6,105432,883,4.1,0.3,4.1,0.5,0.9,0.2,8.2,0.6,9.7,0.4,36.3,0.9,1.4,0.2,63.7,0.9,93.3,0.4,176019,3528,32.6,0.5,46.8,0.1,115246,3328,52866,1011,64038,1305,0.4,0.1,8.6,0.7,0.2,0.2,72466,1474,2.4,0.02,259943,NA,7.2,0.6,5.6,0.7,8.1,1.4,4.9,0.4,3.6,0.5,3.5,0.4,0.1,0.1,1.3,0.5,0.4,0.3,5.1,0.3,77.8,0.7,71.2,0.2
California,Mariposa County,6043,83.7,0.3,27.5,0.7,2.3,0.7,4.2,0.2,1.2,0.5,2.63,0.13,24.6,2.3,1.5,0.3,11.3,NA,74.9,3.5,75.7,3.2,65.7,3.3,7643,346,1.4,0.9,1.2,0.7,0.7,0.6,1.5,0.7,5.4,1.6,31.6,3.6,18.4,2.7,68.4,3.6,90.6,1.6,61727,3173,NA,NA,51.7,0.6,48820,4413,27678,1779,31356,2316,1.9,0.7,2.4,0.8,0.3,0.3,28757,1419,2.13,0.08,17420,NA,NA,NA,NA,NA,NA,NA,4.3,1,8.5,2.2,5.6,1.4,0.3,0.4,1.4,1.3,0,3.7,10.2,1.3,88.4,0.8,80,0.3
California,Mendocino County,6045,78.6,0.1,21.2,0.1,2.1,0.3,5.8,0.1,2.1,0.1,3.1,0.07,24.4,1.2,0.7,0.1,25.1,NA,81.1,1.5,74.8,1.9,71.4,1.9,34408,643,1.6,0.4,3.5,0.7,0.3,0.2,1.9,0.5,15.1,1.1,40.1,1.9,9.6,1,59.9,1.9,86.5,1.1,70648,2916,20.8,1.2,43.1,0.3,51416,2038,26784,818,30969,805,4.4,0.6,4.1,0.9,0.2,0.1,29035,1131,2.47,0.04,87224,NA,17.8,1.7,9.7,1.8,25.4,3.8,4.9,0.6,8.5,1.3,8.6,1,0.5,0.3,4.6,1.5,2.1,1.5,8.7,0.7,83.6,1.2,65.2,0.1
California,Merced County,6047,70.4,0.1,11,0.1,1.2,0.1,7.9,0.1,7.5,0.2,3.77,0.05,13.8,0.8,3.2,0.2,59.6,NA,83.9,0.8,69,1.1,83.4,0.9,80008,727,4.5,0.4,13.1,0.8,0.4,0.2,5.4,0.5,44.2,0.9,47.8,1,6,0.5,52.2,1,69.1,0.9,74379,2003,28.6,0.9,31.1,0.1,53672,1936,24873,595,31725,537,0.9,0.2,29,1.1,0.2,0.1,23011,608,3.32,0.03,271382,NA,21.2,1.1,11,1.4,29.8,2.1,4.1,0.5,10.4,0.9,8.3,0.7,1.6,0.5,3.3,0.7,3,1.2,4.8,0.3,55.1,1.1,27.6,0.1
California,Modoc County,6049,80.3,0.2,27,1.5,2.3,0.9,5,0.4,1.1,1.3,2.97,0.26,15.2,3.1,1.5,0.3,14.5,NA,69.7,5.5,64.4,5.3,60.5,5.2,3616,232,1.1,1,4.1,2.9,0,1,0.4,0.5,10,2.7,25.1,3.9,11.3,3.6,74.9,3.9,84.8,3,53699,3311,16.1,2.4,47.8,2.3,45507,5925,25106,2101,29501,2337,4.2,1.4,1.2,0.9,0.1,0.1,22843,1607,2.33,0.14,8907,NA,NA,NA,NA,NA,NA,NA,2.3,1.3,8.1,4.8,12.5,4.1,2,4.6,21.9,12.1,17.4,10.1,10.9,2.1,89.5,1.3,77.7,0.1
California,Mono County,6051,81.3,0.9,14.3,0.6,0.4,0.4,3.5,1.4,2.6,1.8,3.73,0.37,28.8,4.5,0.8,0.7,27,NA,84.1,3.8,85.6,3.8,80.8,5,4765,377,0.3,0.3,3.7,3,1.1,0.9,2.7,2.2,13.9,3.7,35.6,5.8,13.8,4,64.4,5.8,88.6,3.3,84427,8727,NA,NA,37.7,1.3,62260,6457,30701,3706,35676,7296,3.5,1.2,6.2,3.3,0,0.2,34552,3783,2.93,0.24,14310,NA,NA,NA,NA,NA,NA,NA,3.7,2,3.6,2.4,16.1,3.9,5.5,5.5,9.9,6.4,15.3,16.5,6.1,2,83.3,4,65,1
California,Monterey County,6053,73.7,NA,13.2,0.1,1.9,0.1,7.3,0.1,5.6,0.2,3.83,0.03,24.7,0.6,2.6,0.1,58.7,NA,84.2,0.7,74.9,0.7,81.6,0.8,127155,979,5.1,0.3,12.4,0.6,0.9,0.2,3.8,0.3,41.6,0.6,49,0.9,4.4,0.4,51,0.9,71.5,0.6,97451,1889,23.4,0.4,34.4,0.1,71015,1262,28207,686,32701,1036,0.7,0.2,33,0.9,0.5,0.1,30073,524,3.27,0.02,433410,NA,13.1,0.8,8.1,0.8,19.4,1.5,4.3,0.3,4.6,0.4,9.8,0.5,1.1,0.4,3.3,0.6,2.3,0.8,5.4,0.3,53.3,0.9,29.9,0.1
California,Napa County,6055,79.1,NA,18.6,0.1,2.4,0.3,5.1,0.1,8.1,0.3,3.35,0.05,35.7,1.1,2.1,0.1,34.1,NA,89.1,0.8,85.5,1.1,82.2,1,48705,496,5.1,0.4,6,0.7,0.4,0.1,4.4,0.5,21.7,0.7,35.8,1.2,6.5,0.6,64.2,1.2,85.5,0.8,123451,3392,25.6,0.7,41.3,0.4,88596,2026,37953,1022,46310,1186,0.9,0.4,11.5,1.2,0.2,0.1,45195,1129,2.78,0.03,139623,NA,7.8,0.8,7.9,1.4,8.1,1.7,3.9,0.5,4.3,0.8,5.9,0.6,0.5,0.3,3.4,1.1,4.4,2.1,6.7,0.5,73.4,1.1,52.4,0.2
California,Nevada County,6057,82.8,0.1,26.5,0.1,3.3,0.3,4.2,0.1,1.1,0.2,2.88,0.07,37.2,1.3,0.6,0.2,9.4,NA,85.7,1.1,85.7,1.3,79.7,1.3,40855,701,0.9,0.3,0.8,0.3,0.4,0.2,3.4,0.7,4.6,0.7,25.8,1.3,6.6,0.8,74.2,1.3,94.4,0.8,91634,3579,25.5,1.1,50.5,0.2,66096,3314,32359,952,40033,1940,0.7,0.4,1.3,0.5,0.1,0.1,39233,1442,2.4,0.04,99244,NA,11,1.1,7.1,1.4,12.4,3.2,3.8,0.4,3.8,0.8,6.5,0.9,0.4,0.3,4.5,1.8,4.7,2.6,9.8,0.6,92.4,0.6,85.2,0.1
California,Orange County,6059,77.8,NA,14.4,NA,1.9,0.1,5.9,NA,20.5,0.1,3.51,0.01,40.6,0.3,1.8,0.1,34.1,NA,90.7,0.2,87.6,0.2,87.6,0.2,1037492,2280,16.4,0.1,8.7,0.2,1.3,0.1,5.9,0.2,21.6,0.2,42.6,0.3,2.8,0.1,57.4,0.3,85.5,0.2,122488,905,28,0.2,38.1,0.2,90234,540,36135,258,46621,407,0.5,0.1,11.9,0.3,0.3,0.1,41514,313,3.01,0.01,3168044,NA,10.9,0.3,9.2,0.4,14.2,0.5,4.1,0.1,4.3,0.1,7.6,0.2,1.1,0.2,3.3,0.2,2.4,0.3,4.4,0.1,61,0.3,40.6,0.1
California,Placer County,6061,77.6,NA,19.1,0.1,2.3,0.1,5.3,0.1,7.5,0.2,3.18,0.02,39.7,0.7,1.7,0.1,14,NA,89.6,0.5,90.2,0.6,86.1,0.7,142855,835,4.1,0.3,1.9,0.3,0.8,0.2,5.4,0.4,7.2,0.4,28.1,0.7,2.8,0.3,71.9,0.7,94.5,0.3,115043,1931,27.9,0.4,42,0.2,89691,1824,41130,797,54502,885,0.5,0.1,2.9,0.3,0.2,0.1,43759,711,2.67,0.01,385512,NA,7.7,0.5,7.7,0.9,8,1,4.9,0.3,3.8,0.3,4,0.3,0.3,0.1,2.7,0.6,2.3,0.7,8.7,0.3,82.2,0.4,72.7,0.1
California,Plumas County,6063,83.3,0.3,27.1,0.5,2.1,0.6,4.3,0.4,1.2,0.4,2.73,0.16,23.7,2.9,0.9,0.8,8.9,NA,77.9,3.1,74.5,3.7,73.2,2.8,8450,343,0.7,0.6,1.1,0.8,0,0.4,2.6,1.3,7.5,1.8,27.1,2.9,13.6,2.8,72.9,2.9,95.1,1.2,77027,6422,19.8,2.6,52.3,0.5,55359,4650,31351,2090,40153,4446,1.5,0.8,1.6,1,0.5,0.4,35198,3240,2.16,0.09,18660,NA,NA,NA,NA,NA,NA,NA,4,1.3,6,2.2,3.1,1.2,0.2,0.2,2.6,2.7,0,3.9,12.1,1.5,90.3,1,83.1,0.8
California,Riverside County,6065,74.5,NA,14.1,NA,1.7,0.1,6.5,NA,6.5,0.1,3.87,0.02,22.3,0.3,6.5,0.1,48.9,NA,86.6,0.3,81,0.3,83.5,0.3,724893,2905,5,0.1,8.1,0.2,0.9,0.1,2.8,0.1,33.1,0.3,33.7,0.4,8,0.2,66.3,0.4,82,0.2,88875,753,34,0.2,35.6,0.1,67005,638,28557,257,38011,308,0.8,0.1,21.5,0.5,0.3,0.1,28596,224,3.28,0.01,2411439,NA,13.7,0.3,10.5,0.4,18.2,0.6,4.4,0.2,6.9,0.2,8.8,0.2,1.3,0.2,4,0.3,3.1,0.4,6.8,0.1,59.9,0.4,35.3,0.1
