gene.name,ka.nv.1,ka.nv.2,ka.nv.3,ka.v.1,ka.v.2,ka.v.3,tbg.nv.1,tbg.nv.2,tbg.nv.3,tbg.v.1,tbg.v.2,tbg.v.3
SAMDC,2210.3349,2241.3091,2272.7188,3682.8137,3356.1089,3957.1576,2117.215,1662.5477,2491.2494,2685.5243,3270.5079,2983.4447
ABCI20,72.6754,152.4137,73.4382,309.2542,378.2241,337.4646,140.2237,74.942,69.7372,337.4879,374.6042,217.7844
ATPP2-A10,2.506,3.5445,1.9326,65.8846,63.0374,72.8139,18.7508,12.3691,32.6429,35.525,38.8191,42.347
ATATP-PRT2,431.0404,523.4054,476.382,1058.1871,1072.8958,1173.4246,559.2644,475.8452,476.2901,938.0304,1006.3848,1020.3603
AAT3,680.8099,906.212,772.0673,1610.8108,1511.6358,1508.0887,1089.9948,752.3301,1054.9603,1326.2684,1179.1297,991.1207
PGK,1222.9517,1491.0554,1494.8537,1967.1254,1986.9375,2198.4209,1226.1423,1049.9152,1494.1561,1640.073,1681.8369,1539.6147
934410,26.7312,15.3595,21.2584,111.6004,105.9028,128.8247,45.6542,16.007,16.3215,121.8002,127.1325,133.0905
VHA-A,1845.2872,2208.2271,1996.3593,3244.4795,3192.2118,3307.4332,2090.3117,1960.8604,2583.2431,2322.6614,2592.1444,2408.7358
ATSK12,421.0162,367.4471,476.382,859.1887,970.7753,932.5785,523.3932,497.6729,597.9592,572.6299,737.5626,604.9567
IDH-V,399.2971,380.4436,445.4606,586.2383,615.2446,698.7338,446.7593,392.1721,445.1309,540.4882,640.5149,514.2132
ATGSTF2,722.5774,440.7002,950.8313,2199.7383,2416.8523,2269.8345,820.9609,472.2072,804.2032,1636.6896,2075.8506,2041.7288
CLB6,784.3932,1299.6521,992.3819,1754.6812,1633.9283,1884.7608,1471.5338,1027.3599,1568.3446,1392.2435,1530.4424,1425.6812
487699,450.2534,594.2955,493.7752,1336.5158,1130.8902,1218.2332,512.7949,376.1651,626.1508,757.8677,708.4483,728.9728
5PTASE2,84.3703,16.541,65.7079,188.2417,210.5448,201.6386,51.361,21.1002,83.0911,69.3584,242.6193,136.1153
MAB1,512.9046,671.0931,628.0898,845.7429,912.7809,914.3751,597.5813,552.2423,695.888,695.2759,696.8026,662.4276
ATMT-1,395.9557,759.7057,395.2134,962.7216,1398.1686,1151.0204,696.227,831.6376,1195.9184,810.3094,1122.842,1050.6081
UBI10,208.8374,215.0334,234.809,348.2471,356.7914,435.4834,285.339,253.9296,390.2314,337.4879,320.2575,305.5031
ATSEC1B,36.7554,38.9896,31.8876,143.8704,190.3728,204.4391,35.0559,36.3796,54.8995,121.8002,133.9258,126.0326
890595,621.5001,710.0827,647.4156,1004.4037,1204.0135,1104.8115,722.3152,655.5604,819.0409,879.6678,1065.5839,1055.6494
491551,228.0504,239.8449,211.6179,572.7925,482.8662,487.2933,215.2271,299.0403,305.6566,293.5045,338.6965,269.2057
476340,10.0242,12.9965,4.8315,387.24,726.1904,505.4968,132.0712,8.0035,127.6042,133.6418,296.966,513.2049
473680,218.8616,183.1328,211.6179,138.4921,100.8598,124.6239,205.444,216.8224,186.955,134.4877,95.1068,103.8509
ATGLR3.2,132.8206,72.0716,92.764,619.8529,520.6886,669.3281,211.9661,146.9736,255.2084,415.3047,560.9358,567.651
921504,51.7917,69.7086,59.9101,439.6787,346.7055,270.2517,108.4288,90.949,118.7016,290.967,291.1431,250.0488
923843,147.8569,155.9583,144.9438,57.8171,40.3439,47.6091,70.9271,106.956,75.6723,49.9042,67.9334,44.3635
SEP1,284.0188,405.2552,359.4606,696.4941,649.2848,736.541,433.7152,309.2266,440.6796,347.638,378.4861,373.0566
BBX19,15.0363,16.541,16.427,141.1812,148.7682,127.4244,26.9034,15.2794,17.8052,102.346,191.184,142.1648
476207,664.1029,674.6376,722.7864,973.4783,1273.3546,1151.0204,681.5525,656.288,774.5278,1030.2263,1085.9639,977.005
473496,164.5639,203.2183,185.5281,588.9275,588.7689,466.2893,271.4796,173.1669,221.0817,526.9549,512.4119,558.5767
ENO2,1133.5693,1660.0102,1502.5841,2578.9108,2449.6317,2715.1198,1486.2083,1285.655,1900.7091,1883.6733,1969.0981,1943.9275
ATCNGC2,343.3287,355.6321,426.1348,783.8921,859.8296,814.956,555.1881,387.8065,688.4692,973.5554,801.6141,714.8571
APRR1,237.2393,590.751,472.5168,1558.372,2342.4682,2090.6002,673.3999,747.237,856.1352,1481.0561,1795.3827000000001,1699.9283
471399,184.6123,217.3964,243.5056,147.9042,129.857,138.6265,182.6169,185.536,227.0168,159.8627,151.3944,131.0739
UBL5,131.1499,161.8658,174.8989,244.7142,216.8485,235.245,152.4525,144.0632,206.244,123.4918,164.0106,177.454
ATRAB1C,169.576,178.4068,193.2584,283.7071,289.9718,295.4566,222.5644,202.9982,198.8251,292.6587,296.966,280.2966
WDL1,488.6795,497.4123,416.4719,266.2275,252.14940000000001,247.8474,227.4559,231.3743,161.7309,214.8419,249.4126,226.8588
ECT2,1921.304,1710.8148,1722.8987,2535.8841,3159.4324,3023.1788,1779.6998,1627.6233,2029.797,2396.249,2829.9113,3043.9403
ATMBAC2,11.6949,5.9075,2.8989,41.6821,65.5589,40.6078,13.8593,7.2759,19.289,32.1417,28.1438,41.3387
HHP2,77.6875,85.0681,89.8652,37.6483,44.1262,51.8099,117.3966,89.4938,114.2503,75.2793,70.8448,101.8344
SMG7,870.4342,802.2398,831.0111,1150.9633,1304.8733,1292.4474,867.4304,932.0453,822.0084,1253.5266,1214.0669,1284.5247
890395,239.7453,191.4033,209.6854,428.9221,557.2502,432.6828,247.022,176.0773,203.2765,299.4254,394.9842,300.4618
483119,60.9805,70.8901,58.9438,14.7904,10.086,7.0013,58.6983,53.8418,31.1592,24.5292,19.4095,26.2148
ATRBP37,371.7306,359.1766,315.0112,524.3875,645.5025,667.9279,408.4423,319.4129,345.7184,455.9048,561.9063,559.5849
LUL4,156.2104,161.8658,160.4045,63.1954,42.8654,68.6131,238.8695,193.5395,232.9519,65.1293,35.9077,37.3057
CKB4,195.4718,204.3998,196.1573,345.5579,379.4849,301.0576,213.5966,219.7328,247.7895,267.2837,307.6412,263.1562
SHN2,35.92,54.3491,28.9888,235.3021,383.2671,316.4606,67.6661,68.3936,22.2565,226.6836,411.4823,474.891
488015,38.4261,24.8115,40.5843,12.1012,8.8252,8.4016,19.5661,24.0105,11.8702,20.3,18.4391,11.0909
AMY3,1724.9968,2162.1485,1619.5054,3370.8703,2580.7494,2982.571,2209.3388,2018.3402,2540.2138,2667.7618,2230.1564,2372.4384
484647,618.1587,635.648,601.9999,783.8921,970.7753,897.5718,589.4288,503.4937,678.0828,616.6133,706.5073,626.1302
LTA3,313.2561,418.2517,349.7977,514.9754,569.8577,582.5115,449.205,395.0824,482.2252,517.6507,529.8805,534.3784
483312,353.3529,392.2586,324.6741,596.995,640.4596,530.7016,340.7762,291.7644,278.9487,430.5297,460.0062,417.4201
357730,176.2588,194.9478,190.3595,258.16,242.0635,252.0483,170.3881,173.8945,151.3445,197.0794,206.7116,220.8092
ATDTX35,612.3112,528.1314,696.6965,2062.5908,1572.1517,2155.0126,803.8406,557.3355,336.8157,1393.9351,1597.4053,1395.4334
493778,477.8199,477.3268,517.9325,994.9916,1278.3976,985.7887,547.0355,650.4672,830.9111,793.3927,1047.1448,906.4268
AML1,421.0162,478.5083,388.4494,673.6362,658.11,698.7338,569.8627,598.8082,657.31,642.8342,658.954,599.9154
944516,14.2009,23.63,12.5618,61.8508,65.5589,75.6145,15.4898,35.652,48.9644,46.5209,78.6086,46.38
HMGB3,677.4685,810.5103,756.6066,1071.6329,1076.6781,1246.2386,737.805,687.5744,891.7456,908.4262,1058.7905,1020.3603
473372,661.5968,789.2433,708.292,1629.635,1313.6985,1320.4528,1041.8948,873.838,1063.8629,1418.4643,1493.5643,1350.0616
496949,264.8058,296.557,209.6854,87.3979,97.0775,114.822,123.1034,173.1669,146.8932,104.0376,77.6382,91.7518
320306,446.912,411.1627,331.4382,208.4104,230.7167,212.8407,300.0135,366.7064,277.4649,312.9587,179.5383,235.9331
3BETAHSD/D2,145.3508,127.6022,120.7865,47.0604,70.6018,86.8166,145.1152,116.4147,117.2178,65.1293,58.2286,80.6609
ATBCA1,1082.613,2157.4225,787.528,3452.8899,2645.0475,3160.405,3562.6607,2767.7599,5187.2591,2345.4989,2055.4706,1192.7729
SUMM2,263.1351,219.7594,225.146,149.2487,133.6392,137.2263,207.0746,299.7679,238.8869,167.4752,132.9554,181.487
481882,350.0115,189.0403,276.3595,802.7162,922.8669,973.1863,603.2881,454.745,559.3812,796.776,1038.4105,945.7489
DJC66,136.162,129.9652,176.8314,716.6629,499.2559,655.3255,236.4237,236.4674,169.1498,395.8505,397.8956,336.7592
949632,190.4597,152.4137,160.4045,76.6412,63.0374,81.2155,180.1712,222.6431,274.4974,106.5751,86.3725,67.5535
AXR1,335.8105,337.9096,332.4045,574.1371,671.9782,628.7204,312.2423,283.0333,292.3026,440.6797,454.1833,434.5605
ATB5-A,176.2588,194.9478,185.5281,252.7817,302.5793,218.4418,212.7813,196.4498,228.5005,232.6045,267.8517,230.8918
923649,208.002,248.1154,196.1573,763.7233,1046.4201,826.1582,379.0932,277.9401,316.043,624.2258,894.7799,614.031
KAK,1191.2085,1294.9261,1262.9437,1536.8587,1617.5386,1519.2909,1330.4948,1302.3897,1376.9383,1584.2479,1511.0329,1552.7221
VHA-A3,1069.2474,1250.029,1137.3257,1630.9795,1857.0806,1795.1437,1311.7439,1170.6955,1519.3802,1552.1062,1609.0511,1504.3256
ATP8,22.5544,24.8115,31.8876,47.0604,41.6047,47.6091,25.2729,32.7416,41.5456,31.2959,37.8486,40.3304
919661,637.3717,796.3323,697.6628,1099.8691,1103.1538,1103.4112,845.4186,703.5815,1000.0608,879.6678,882.1637,870.1294
918823,160.3871,167.7733,162.3371,67.2292,59.2551,64.4123,136.1474,168.0737,160.2471,87.9668,65.9924,70.5783
PPH1,615.6526,829.4144,605.8651,1191.3008,1394.3864,1246.2386,1032.927,823.6341,1141.0189,970.1721,1096.6392,972.972
487509,177.9295,198.4923,171.0337,72.6075,17.6505,36.407,167.9424,142.608,97.9288,112.496,50.4648,57.4709
895812,14.2009,14.178,21.2584,353.6254,477.8232,613.3174,88.8627,56.0246,14.8377,316.3421,368.7813,419.4366
323555,193.8011,170.1363,178.764,271.6058,306.3616,313.66,186.6932,154.2495,163.2147,194.5419,234.8555,231.9001
482864,401.8031,479.6898,453.191,712.6291,978.3398,789.7512,538.883,489.6694,510.4168,667.3634,692.9207,658.3945
AtmSFC1,68.4987,73.2531,81.1685,368.4158,627.8521,688.9319,131.2559,74.2144,77.156,389.9297,634.692,596.8906
477435,61.8159,40.1711,55.0786,6.7229,1.2607,2.8005,9.783,11.6415,2.9675,5.075,6.7933,3.0248
TOM2A,389.2729,439.5187,391.3483,587.5829,758.9698,716.9373,393.7678,408.1791,451.066,471.1298,515.3234,518.2462
942027,879.6231,1270.1146,1016.5392,1483.0754,1587.2807,1909.9657,1191.9016,1048.4601,1075.7331,1434.5352,1457.6566,1471.053
NHL12,228.8858,387.5326,286.9887,697.8387,610.2016,691.7324,509.5338,455.4726,556.4137,495.659,551.231,594.8741
923204,413.498,365.0841,456.0898,1001.7146,1111.979,1006.7927,650.5728,487.4866,583.1215,1064.9056,1140.3106,994.1455
319258,106.9247,109.8797,102.427,151.9379,181.5476,198.8381,112.5051,100.4077,136.5068,146.3294,172.7449,169.3879
488313,649.902,601.3845,623.2583,775.8246,707.2792,711.3362,576.3847,595.1702,626.1508,637.7592,605.5777,588.8245
478759,975.6883,1046.8107,815.5505,1336.5158,1369.1714,1361.0606,850.3101,826.5445,844.265,1034.4555,1071.4067,1096.9881
477902,376.7426,568.3024,419.3707,781.2029,876.2193,872.367,353.8203,262.6607,170.6335,557.4049,570.6405,453.7175
487064,242.2514,303.646,237.7078,465.2258,490.4306,502.6962,325.2864,283.0333,310.1079,450.8298,453.2128,454.7258
ATRAB-C1,249.7695,267.0194,280.2247,402.0304,513.1241,390.6748,260.8813,317.2301,229.9843,323.9546,595.873,436.5771
ATPLC2,735.1076,765.6132,734.3819,1038.0183,1037.5949,988.5893,811.1779,809.0823,970.3854,856.8303,910.3075,882.2285
EFO2,3.3414,3.5445,2.8989,49.7496,73.1233,46.2088,11.4136,6.5483,2.9675,31.2959,47.5534,13.1074
938310,300.7258,463.1488,409.7078,541.8671,582.4652,537.7029,515.2406,574.0701,903.6158,552.3299,617.2235,598.9071
ATNTT2,1227.9638,1566.6716,1215.5953,1950.9904,2099.144,2173.2161,1265.2745,979.3388,1264.1718,1715.3522,1930.279,1831.0022
HAP5C,213.8495,236.3004,211.6179,279.6733,370.6597,315.0603,207.8898,235.7398,216.6304,290.1212,345.4899,361.9657
489312,1041.6809,1277.2036,1190.4718,1702.2425,1899.946,2005.1839,1451.9677,1251.4582,1951.1572,1585.9396,1736.1836,1630.3582
AGAL1,304.0672,343.8171,374.9213,1005.7483,1583.4984,1065.604,382.3542,303.4059,259.6597,888.972,1150.9859,1025.4016
EDF4,265.6412,155.9583,381.6853,591.6167,745.1016,746.3429,333.4389,382.7134,317.5267,593.7758,687.0978,536.3949
UGT78D1,325.7863,388.7141,271.5281,757.0004,524.4708,771.5477,422.3017,333.9647,135.023,614.0758,667.6883,620.0806
APM2,471.1371,526.9499,407.7752,606.4071,709.8006,714.1367,478.5542,462.7485,457.0011,535.4132,640.5149,597.8988
EX2,354.1882,460.7858,366.2247,630.6096,789.2277,697.3335,531.5457,403.086,505.9655,459.2881,541.5262,554.5436
ATMBF1A,243.0867,271.7454,261.8651,334.8012,411.0036,443.885,250.283,251.0192,403.5854,290.1212,329.9622,410.3623
940818,208.8374,219.7594,227.0786,76.6412,73.1233,106.4204,153.2678,170.2565,152.8283,142.946,106.7525,120.9913
893702,30.0726,21.267,23.191,138.4921,137.4214,121.8233,44.0237,42.2003,41.5456,123.4918,150.424,158.297
486063,60.1452,48.4416,65.7079,6.7229,1.2607,5.6011,26.0881,34.9244,7.4188,50.7501,40.76,82.6774
AAE7,190.4597,217.3964,171.0337,560.6912,784.1847,715.537,426.3779,366.7064,408.0367,693.5842,738.5331,639.2376
ARF11,629.0182,627.3775,589.4381,1075.6666,1283.4406,1144.019,696.227,816.3582,626.1508,948.1804,1014.1486,1129.2525
ALDH10A8,603.1224,658.0966,603.9325,817.5066,868.6548,894.7713,774.4914,729.7748,600.9268,736.7218,535.7034,542.4445
484897,144.5155,138.2357,138.1798,80.675,90.7738,81.2155,177.7254,144.7908,277.4649,220.7628,260.0879,245.0075
SHM1,1831.0862,2696.1874,2175.1233,3965.1761,3456.9687,3720.5123,3176.2302,2658.6211,4544.7868,2694.8285,2685.3102,1911.6631
932150,53.4624,53.1676,50.2472,154.6271,122.2925,119.0228,39.9475,48.0211,32.6429,71.0501,83.461,69.57
489189,253.9463,226.8484,185.5281,126.3908,100.8598,82.6158,204.6288,232.8294,246.3058,104.0376,56.2877,101.8344
496271,569.7084,567.1209,641.6179,408.7533,388.3101,373.8716,419.0406,596.6254,425.8419,325.6463,365.8699,437.5853
PFK7,153.7043,106.3352,118.8539,527.0767,504.2989,315.0603,154.083,133.1493,130.5717,367.938,503.6776,371.0401
BPA1,318.2682,293.0125,365.2584,516.32,602.6371,523.7003,303.2745,266.2987,284.8838,373.8588,567.7291,542.4445
486320,131.1499,145.3247,115.955,170.7621,191.6336,166.6319,114.1356,134.6045,117.2178,145.4835,166.9221,158.297
CBP60a,96.0652,66.1641,87.9326,127.7354,133.6392,134.4257,80.7102,85.8559,87.5424,122.646,159.1582,168.3796
312397,251.4402,248.1154,232.8764,133.1137,137.4214,135.826,206.2593,255.3848,173.6011,137.0252,112.5753,115.95
491288,12.5302,7.089,10.6292,116.9787,199.1981,100.8193,14.6746,5.8207,7.4188,35.525,88.3134,55.4544
493915,175.4234,170.1363,185.5281,377.8279,412.2643,422.881,326.9169,327.4164,375.3937,405.1547,473.5928,544.461
ATGID1A,149.5276,111.0612,137.2135,354.97,571.1185,386.474,261.6966,246.6537,299.7215,417.8422,529.8805,460.7753
949566,0,0,0,64.54,172.7224,152.6292,13.0441,4.3656,1.4838,51.5959,137.8078,111.917
HVA22H,120.2903,150.0507,104.3595,55.1279,50.4299,57.411,52.1763,86.5834,40.0618,54.9792,44.6419,70.5783
311800,167.9053,159.5028,122.7191,302.5312,339.141,281.4539,154.8983,204.4533,191.4063,253.7503,306.6708,316.594
CIPK25,25.0605,132.3282,11.5955,781.2029,985.9043,588.1126,180.9864,197.1774,448.0985,664.8259,744.356,744.0967
At-RS2Z,454.4302,400.5292,406.8089,578.1708,540.8605,648.3241,387.2457,375.4375,350.1697,532.0299,558.0243,605.9649
327041,79.3582,64.9826,72.4719,123.7017,163.8971,124.6239,85.6017,72.0316,69.7372,113.3418,153.3354,148.2144
345894,129.4792,133.5097,144.9438,88.7425,52.9514,63.0121,124.7339,125.1458,127.6042,105.7293,77.6382,73.6031
ATMBD5,71.0047,81.5236,85.0337,32.27,23.9542,39.2075,65.2203,60.3901,48.9644,43.9834,30.0848,36.2974
ATGT18,164.5639,281.1975,194.2247,422.1992,405.9606,484.4928,316.3186,416.1826,479.2576,335.7963,343.5489,348.8583
910174,50.9563,68.5271,37.6854,121.0125,121.0317,141.4271,82.3407,65.4833,97.9288,82.0459,99.9591,100.8261
315784,903.8482,1135.4233,982.719,1479.0416,1383.0396,1459.0793,1286.4711,1052.098,1415.5163,1203.6224,1111.1963,1028.4263
474950,258.123,213.8518,222.2472,150.5933,175.2439,169.4324,235.6085,232.8294,271.5299,246.1378,224.1802,241.9827
THI1,1993.9794,2871.0497,2255.3255,3988.0341,3707.8574,4329.6289,2822.4099,2420.6985,4498.7899,2814.0912,3192.8697,3083.2625
473251,75.1815,69.7086,80.2022,246.0587,325.2728,336.0643,128.8102,118.5975,167.666,298.5796,362.9584,415.4036
ARA-3,465.2897,445.4262,461.8876,549.9346,545.9035,617.5182,410.0728,480.2107,477.7739,460.9798,513.3824,454.7258
476005,277.3361,293.0125,203.8876,118.3233,75.6448,116.2223,188.3237,168.8013,200.3089,72.7418,81.5201,89.7352
495312,121.961,165.4103,95.6629,338.835,331.5765,389.2745,186.6932,95.3146,123.1529,268.9753,349.3718,254.0818
GHR1,286.5249,248.1154,223.2135,71.2629,60.5159,77.0147,276.3712,260.4779,117.2178,216.5336,118.3982,157.2887
ckl7,529.6116,518.6793,556.5842,747.5883,748.8838,744.9426,494.8593,510.042,522.287,580.2424,669.6292,639.2376
AtNPF5.13,136.9973,152.4137,135.2809,37.6483,49.1691,47.6091,143.4847,176.8049,127.6042,79.5084,70.8448,64.5287
495556,308.244,375.7176,386.5168,482.7054,613.9839,515.2987,335.8847,325.9612,436.2283,422.9172,471.6519,390.1971
352644,0,34.2636,1.9326,315.9771,504.2989,436.8836,139.4085,18.9174,22.2565,332.4129,354.2242,343.817
GPDHp,348.3408,355.6321,286.9887,189.5862,170.2009,170.8327,344.0373,218.2776,215.1466,132.796,197.9773,119.9831
478489,194.6364,194.9478,192.2921,217.8225,240.8027,204.4391,157.3441,151.3391,178.0524,190.3127,199.9183,183.5035
476802,365.0478,526.9499,388.4494,734.1425,610.2016,684.7311,684.8135,494.7626,741.8849,520.1882,442.5376,367.007
933239,273.1593,303.646,277.3258,564.725,482.8662,543.304,327.7322,305.5886,338.2995,471.9756,461.9471,417.4201
482593,497.8683,400.5292,530.4943,92.7762,30.2579,58.8113,96.2,141.1528,74.1885,84.5834,81.5201,75.6196
913127,299.0551,289.468,255.1011,439.6787,555.9895,576.9104,325.2864,376.8926,411.0042,415.3047,450.3014,542.4445
322643,26.7312,49.6231,25.1236,91.4317,78.1663,81.2155,30.9797,13.0967,13.3539,12.6875,33.9667,24.1983
471563,139.5034,168.9548,137.2135,107.5667,75.6448,105.0201,114.9508,121.5079,83.0911,102.346,97.0477,104.8592
POK2,758.4974,510.4088,791.3932,102.1883,44.1262,78.415,121.4729,179.7152,91.9937,126.0293,112.5753,94.7765
486811,444.406,444.2447,438.6966,599.6842,621.5483,660.9265,516.8711,531.1422,467.3875,627.6091,564.8177,551.5188
AtBGAL5,341.658,512.7718,458.0224,112.945,65.5589,102.2196,351.3745,467.1141,430.2932,239.3711,128.103,135.107
SEC15A,162.8932,141.7802,158.4719,106.2221,66.8196,93.818,140.2237,130.9666,109.799,126.8752,105.782,121.9996
Cand7,461.113,506.8643,544.9887,430.2667,408.4821,407.478,441.8678,424.9137,457.0011,377.2422,350.3422,359.9492
940570,177.9295,150.0507,197.1236,91.4317,70.6018,58.8113,105.1678,136.7873,173.6011,65.9751,57.2582,45.3718
PMAT1,18.3777,11.815,28.0225,279.6733,492.9521,338.8649,86.4169,53.8418,38.578,328.1838,522.1167,400.2797
SIG4,216.3555,245.7524,187.4606,293.1192,247.1064,271.652,367.6796,304.1335,295.2702,282.5087,200.8888,158.297
312884,20.8837,12.9965,13.5281,96.81,94.556,105.0201,37.5017,17.4622,13.3539,80.3543,110.6344,111.917
472346,294.8784,256.3859,227.0786,552.6237,699.7147,603.5155,383.9847,311.4094,367.9749,519.3423,599.7549,616.0475
919005,421.0162,356.8136,384.5842,250.0925,216.8485,254.8488,370.9406,454.0174,357.5885,329.8754,314.4346,378.0979
ATPEN3,128.6438,135.8727,116.9213,68.5737,34.0402,77.0147,117.3966,104.0457,102.3801,72.7418,48.5239,36.2974
907160,47.6149,85.0681,77.3034,32.27,25.2149,42.008,57.883,63.3005,51.9319,35.525,32.0257,34.2809
CID4,314.9268,274.1084,265.7303,418.1654,567.3362,488.6936,305.7203,275.0298,286.3676,430.5297,462.9176,536.3949
YAB2,249.7695,246.9339,257.0337,291.7746,354.27,295.4566,207.0746,173.8945,149.8607,196.2336,239.7078,200.644
470391,627.3475,609.655,648.3819,719.3521,804.3567,690.3322,545.405,579.8908,660.2775,639.4508,660.8949,676.5432
RPT1A,796.0881,797.5138,873.528,984.235,1137.1939,1177.6255,722.3152,683.9365,732.9823,821.3052,858.8723,892.3111
ORP1C,198.8132,167.7733,183.5955,243.3696,226.9345,232.4445,172.8339,169.5289,124.6367,204.6919,213.505,206.6935
ATECH2,233.0625,220.9409,261.8651,334.8012,477.8232,410.2785,263.3271,380.5306,468.8712,404.3089,515.3234,334.7427
ATCTIMC,867.9282,1228.762,1022.3369,1683.4183,1695.7049,1839.9522,1149.5084,918.2211,1547.5719,1220.5391,1338.288,1226.0455
ATPUB45,147.8569,171.3178,125.618,395.3075,368.1382,351.4673,198.922,168.8013,155.7958,368.7838,416.3347,286.3462
NPX1,125.3024,93.3387,126.5843,266.2275,260.9747,215.6413,131.2559,162.9806,146.8932,208.9211,212.5345,276.2635
ATRAB6A,356.6943,363.9026,391.3483,520.3537,510.6026,575.5102,352.1898,362.3408,422.8744,470.2839,467.77,496.0645
493318,1.6707,0,16.427,59.1617,36.5617,71.4137,7.3373,0,0,19.4542,10.6752,20.1652
496390,31.7433,85.0681,33.8202,192.2754,221.8915,275.8528,198.1068,145.5184,178.0524,195.3878,217.3869,168.3796
GAUT3,238.0746,209.1258,179.7303,126.3908,139.9429,137.2263,203.8135,221.188,178.0524,169.1669,214.4754,182.4953
SNL4,429.3697,413.5257,434.8314,642.7108,716.1044,707.1354,484.261,452.5622,464.4199,575.1674,615.2825,629.1549
AtOZF1,401.8031,414.7072,272.4943,886.0804,1517.9396,1184.6268,383.9847,534.0525,476.2901,918.5762,1219.8897,1288.5577
ATMED14,553.0014,636.8295,417.4381,259.5046,341.6625,243.6466,333.4389,347.0614,341.267,349.3296,283.3793,310.5444
339371,106.0894,128.7837,93.7303,929.1071,1945.3329,1109.0123,200.5525,85.1283,83.0911,663.1342,723.0055,661.4193
490803,60.1452,56.7121,51.2135,92.7762,108.4243,103.6198,45.6542,50.2038,45.9969,29.6042,52.4058,35.2891
ATMDAR1,905.5189,1453.2474,1121.865,1758.715,1984.416,1876.3592,1257.9372,1045.5497,1513.4452000000001,1451.4519,1597.4053,1332.9212
AtGH9B5,148.6922,155.9583,142.0449,68.5737,37.8224,58.8113,103.5373,87.311,40.0618,63.4376,32.9962,25.2065
ATSIG6,631.5243,838.8664,610.6965,1075.6666,1200.2313,1186.0271,1055.7541,757.4233,934.7749,1139.339,1128.6649,1062.7072
473945,1156.9591,1247.666,1036.8313,2184.9479,2782.469,2561.0903,1605.2354,1215.8062,1491.1886,2551.8825,2742.5684,2734.4042
932734,422.6869,484.4158,457.0561,611.7854,644.2418,648.3241,456.5423,416.1826,379.8451,619.1508,658.954,612.0145
478272,170.4113,229.2114,148.809,575.4817,984.6435,777.1488,299.1983,221.188,183.9874,509.1923,501.7367,552.5271
474709,323.2803,220.9409,324.6741,71.2629,46.6476,46.2088,104.3525,125.1458,51.9319,80.3543,81.5201,68.5618
494260,133.6559,75.6161,102.427,190.9308,196.6766,242.2464,121.4729,148.4288,115.734,159.0169,252.3241,228.8753
ATH3,484.5027,718.3532,580.7415,736.8316,775.3595,823.3576,761.4474,697.7607,1330.9415,573.4757,666.7178,598.9071
AIF1,11.6949,14.178,21.2584,130.4246,147.5074,144.2276,61.1441,105.5008,77.156,188.6211,256.206,177.454
ANN1,1317.3462,2084.1694,1578.9211,2716.0583,3459.4902,2842.5442,1434.0321,1579.6022,2474.928,2062.9902,2299.0603,2334.1245
ATSPPL3,223.8737,277.653,279.2584,508.2525,665.6745,625.9198,296.7525,272.847,270.0461,460.1339,498.8252,521.271
BRT1,200.4839,238.6634,138.1798,918.3504,1133.4117,702.9346,607.3643,409.6343,252.2409,961.7138,1295.587,860.0467
494045,297.3844,431.2482,271.5281,703.2171,857.3081,830.359,363.6034,404.5411,313.0754,756.176,807.437,926.592
480885,192.9657,314.2795,330.4719,47.0604,76.9056,37.8072,141.039,303.4059,213.6628,76.1251,44.6419,76.6278
481867,519.5874,411.1627,416.4719,248.7479,197.9373,246.4472,489.9677,564.6114,486.6765,349.3296,281.4384,311.5527
POK1,398.4617,293.0125,335.3033,25.5471,18.9112,19.6038,61.1441,117.8699,40.0618,63.4376,35.9077,45.3718
471155,133.6559,111.0612,112.0899,563.3804,761.4913,555.9064,202.9983,130.239,105.3477,574.3216,766.6769,681.5845
PDV1,37.5907,50.8046,63.7753,118.3233,92.0345,88.2169,57.883,50.9314,43.0293,81.2001,76.6677,62.5122
ATPDHK,372.5659,425.3407,369.1235,816.1621,602.6371,702.9346,613.8864,531.1422,721.1121,610.6925,550.2605,506.1471
946634,142.8448,190.2218,155.573,268.9167,301.3186,254.8488,165.4966,189.9015,157.2796,233.4503,245.5307,229.8835
ELP,375.9073,822.3253,437.7303,1025.9171,1125.8472,1302.2493,1044.3406,950.9627,1900.7091,857.6761,939.4219,803.5841
904747,537.1298,544.6724,536.2921,1184.5779,1550.719,1256.0405,628.561,540.6008,608.3456,780.7052,937.4809,850.9724
AtBBX32,24.2251,2.363,18.3595,72.6075,102.1205,78.415,26.9034,13.0967,1.4838,49.0584,95.1068,91.7518
SLP2,957.3106,1182.6834,957.5954,1961.747,1817.9974,2021.9871,871.5067,958.9662,796.7844,1325.4226,1451.8338,1707.9943
ATTRE1,25.0605,5.9075,21.2584,72.6075,108.4243,148.4284,17.1203,45.8383,20.7728,35.525,156.2468,34.2809
493476,349.1761,223.3039,356.5618,67.2292,45.3869,37.8072,75.8186,109.1388,72.7047,64.2834,75.6972,44.3635
CN,274.83,242.2079,281.191,161.35,123.5532,144.2276,200.5525,236.4674,163.2147,150.5585,153.3354,149.2226
481669,336.6459,283.5605,303.4157,419.51,516.9063,439.6842,278.8169,352.1545,316.043,400.9255,525.0281,462.7919
emb2448,922.2259,1129.5158,1022.3369,1312.3133,1490.2031,1522.0914,968.5219,913.1279,1192.9509,1094.5098,1226.6831,1101.0211
